Time_s,gps_valid,gnss_east_m,gnss_north_m,fused_east_m,fused_north_m,pure_east_m,pure_north_m,err_fused_m,err_pure_m
26.5019,0,,,401.0513,192.1100,405.3213,192.6949,11.6894,10.2123
26.6019,0,,,402.5796,193.1425,406.8496,193.7275,11.8373,10.3607
26.7019,0,,,404.1089,194.1665,408.3789,194.7515,11.9779,10.5007
26.8019,0,,,405.6240,195.1888,409.8940,195.7737,12.1260,10.6434
26.9019,0,,,407.1411,196.2322,411.4106,196.8171,12.2895,10.8060
27.0019,0,,,408.6626,197.2552,412.9326,197.8402,12.4343,10.9476
27.1019,0,,,410.1855,198.2788,414.4556,198.8637,12.5786,11.0894
27.2019,0,,,411.7183,199.2941,415.9883,199.8790,12.7105,11.2206
27.3019,0,,,413.2520,200.3415,417.5220,200.9265,12.8673,11.3820
27.4019,0,,,414.7656,201.3835,419.0361,201.9684,13.0321,11.5444
27.5019,0,,,416.2710,202.4235,420.5415,203.0085,13.2002,11.7077
27.6019,0,,,417.7490,203.4425,422.0195,204.0274,13.3682,11.8600
27.7019,0,,,419.2695,204.4690,423.5400,205.0539,13.5164,12.0061
27.8019,0,,,420.7705,205.4829,425.0410,206.0679,13.6665,12.1468
27.9019,0,,,422.2744,206.5453,426.5449,207.1303,13.8535,12.3324
28.0019,0,,,423.7715,207.6334,428.0420,208.2183,14.0650,12.5446
28.1019,0,,,425.2720,208.7134,429.5425,209.2983,14.2682,12.7481
28.2019,0,,,426.7383,209.8115,431.0083,210.3965,14.5064,12.9806
28.3019,0,,,428.2524,210.8692,432.5225,211.4542,14.6837,13.1586
28.4019,0,,,429.7710,211.9167,434.0410,212.5016,14.8501,13.3256
28.5019,0,,,431.3071,212.9648,435.5771,213.5497,15.0067,13.4872
28.6019,0,,,432.8130,214.0085,437.0830,214.5934,15.1777,13.6551
28.7019,0,,,434.3320,215.0312,438.6021,215.6161,15.3240,13.7988
28.8019,0,,,435.8521,216.0782,440.1216,216.6631,15.4894,13.9653
28.9019,0,,,437.3691,217.1421,441.6392,217.7270,15.6702,14.1482
29.0019,0,,,438.8975,218.1955,443.1675,218.7804,15.8360,14.3175
29.1019,0,,,440.4336,219.2149,444.7036,219.7998,15.9697,14.4523
29.2019,0,,,441.9780,220.2492,446.2485,220.8341,16.1107,14.5980
29.3019,0,,,443.5166,221.2606,447.7871,221.8455,16.2364,14.7243
29.4019,0,,,445.0381,222.2840,449.3086,222.8689,16.3821,14.8681
29.5019,0,,,446.5630,223.3112,450.8330,223.8961,16.5288,15.0144
29.6019,0,,,448.0933,224.3704,452.3638,224.9553,16.6985,15.1883
29.7019,0,,,449.6201,225.4001,453.8906,225.9850,16.8461,15.3361
29.8019,0,,,451.1348,226.3860,455.4053,226.9709,16.9651,15.4474
29.9019,0,,,452.6504,227.3763,456.9209,227.9612,17.0872,15.5626
30.0019,0,,,454.1729,228.3714,458.4434,228.9563,17.2092,15.6799
30.1019,0,,,455.6836,229.3718,459.9541,229.9567,17.3423,15.8065
30.2019,0,,,457.1694,230.3711,461.4399,230.9560,17.4890,15.9414
30.3019,0,,,458.6572,231.3811,462.9282,231.9660,17.6433,16.0855
30.4019,0,,,460.1440,232.3736,464.4150,232.9586,17.7841,16.2143
30.5019,0,,,461.6333,233.3880,465.9043,233.9730,17.9412,16.3626
30.6019,0,,,463.1265,234.3532,467.3975,234.9381,18.0562,16.4641
30.7019,0,,,464.6187,235.3744,468.8896,235.9593,18.2171,16.6179
30.8019,0,,,466.1147,236.3949,470.3857,236.9799,18.3753,16.7698
30.9019,0,,,467.5918,237.4358,471.8623,238.0207,18.5610,16.9481
31.0019,0,,,469.1138,238.4652,473.3843,239.0501,18.7111,17.0982
31.1019,0,,,470.6328,239.4934,474.9033,240.0784,18.8619,17.2484
31.2019,0,,,472.1802,240.5194,476.4507,241.1043,18.9944,17.3852
31.3019,0,,,473.6963,241.5529,477.9668,242.1378,19.1512,17.5414
31.4019,0,,,475.2158,242.5642,479.4863,243.1491,19.2881,17.6758
31.5019,0,,,476.7202,243.5988,480.9912,244.1837,19.4527,17.8375
31.6019,0,,,478.2407,244.5816,482.5117,245.1665,19.5659,17.9456
31.7019,0,,,479.7495,245.5938,484.0200,246.1787,19.7098,18.0855
31.8019,0,,,481.2510,246.5832,485.5215,247.1681,19.8396,18.2074
31.9019,0,,,482.7397,247.5981,487.0103,248.1830,19.9974,18.3579
32.0019,0,,,484.2368,248.6382,488.5073,249.2231,20.1708,18.5282
32.1019,0,,,485.7534,249.6770,490.0244,250.2619,20.3316,18.6890
32.2019,0,,,487.2812,250.7082,491.5518,251.2931,20.4797,18.8388
32.3019,0,,,488.8037,251.7211,493.0742,252.3060,20.6162,18.9738
32.4019,0,,,490.3403,252.7835,494.6108,253.3685,20.7846,19.1483
32.5019,0,,,491.8647,253.8208,496.1353,254.4058,20.9397,19.3049
32.6019,0,,,493.3940,254.8754,497.6646,255.4603,21.1061,19.4751
32.7019,0,,,494.9165,255.9159,499.1870,256.5009,21.2651,19.6354
32.8019,0,,,496.4751,256.9672,500.7456,257.5521,21.4119,19.7907
32.9019,0,,,498.0127,257.9961,502.2837,258.5810,21.5527,19.9339
33.0019,0,,,499.5425,259.0308,503.8135,259.6157,21.7028,20.0859
33.1019,0,,,501.0664,260.0723,505.3374,260.6572,21.8619,20.2464
33.2019,0,,,502.5913,261.1042,506.8623,261.6891,22.0126,20.3978
